locnumber;standyear;rotation;clone;repetition;shoots;dbh1;d0.1 1;dbh2;d0.1 2;dbh3;d0.1 3;dbh4;d0.1 4;dbh5;d0.1 5;dbh6;d0.1 6;dbh7;d0.1 7;dbh8;d0.1 8;dbh9;d0.1 9;dbh10;d0.1 10;dbh11;d0.1 11;dbh12;dbh13;dbh14;dbh15;height;l 1;l 2;l 3;l 4;l 5;l 6;l 7;l 8;l 9;l 10;l 11;l 12;l 13;remark;location;acqdate;treenumber
37;1;1;1;1;1;12;20;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;20090209;1
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;2
37;1;1;1;1;1;9;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;3
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;4
37;1;1;1;1;2;6;8;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;5
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;6
37;1;1;1;1;1;12;17;;;;;;;;;;;;;;;;;;;;;;;;;;19,5;;;;;;;;;;;;;;;20090209;7
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;8
37;1;1;1;1;1;7;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;9
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;10
37;1;1;1;1;1;8;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;11
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;12
37;1;1;1;1;1;11;17;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;20090209;13
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;14
37;1;1;1;1;2;4;6;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;15
37;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20090209;16
